sample_id,user_id,item_id,seed_999_strict_label,seed_999_confidence_tier,seed_999_tiered_label,seed_2026_strict_label,seed_2026_confidence_tier,seed_2026_tiered_label,seed_3407_strict_label,seed_3407_confidence_tier,seed_3407_tiered_label,cross_seed_A_label,cross_seed_A_or_B_label,contrast_median,contrast_mean,contrast_mad,text_direction_votes,image_direction_votes,tie_votes,majority_direction_fraction,continuous_direction,measurements,user_bucket,cohort
baby-u451-i5709,451,5709,text,A,text,text,A,text,text,A,text,text,text,0.658139535,0.623212077,0.136847318,21,0,0,1,text,21,0,prompt_development
baby-u883-i5781,883,5781,text,A,text,text,A,text,text,A,text,text,text,0.695652174,0.650517785,0.0821256039,21,0,0,1,text,21,0,prompt_development
baby-u936-i1853,936,1853,text,A,text,text,A,text,text,A,text,text,text,0.821428571,0.713778416,0.142454047,21,0,0,1,text,21,0,prompt_development
baby-u1101-i196,1101,196,image,A,image,image,A,image,image,A,image,image,image,-0.391304348,-0.454129036,0.108695652,0,21,0,1,image,21,0,prompt_development
baby-u1155-i5808,1155,5808,text,A,text,text,A,text,text,A,text,text,text,0.626666667,0.591330649,0.156078431,21,0,0,1,text,21,0,prompt_development
baby-u1452-i1047,1452,1047,text,A,text,text,A,text,text,A,text,text,text,0.555555556,0.588297635,0.126984127,21,0,0,1,text,21,0,prompt_development
baby-u1508-i5184,1508,5184,text,A,text,text,A,text,text,A,text,text,text,0.731782946,0.702098682,0.161554854,21,0,0,1,text,21,0,prompt_development
baby-u1645-i4352,1645,4352,text,A,text,text,A,text,text,A,text,text,text,0.87965616,0.853732183,0.0820296633,21,0,0,1,text,21,0,prompt_development
baby-u2051-i4622,2051,4622,text,A,text,text,A,text,text,A,text,text,text,0.873684211,0.821892092,0.104453441,21,0,0,1,text,21,0,prompt_development
baby-u2332-i855,2332,855,text,A,text,text,A,text,text,A,text,text,text,0.796078431,0.723593172,0.0915248744,21,0,0,1,text,21,0,prompt_development
baby-u2681-i5055,2681,5055,image,A,image,image,A,image,image,A,image,image,image,-0.636363636,-0.645567958,0.203636364,0,21,0,1,image,21,0,prompt_development
baby-u2780-i249,2780,249,text,A,text,text,A,text,text,A,text,text,text,0.6,0.621665636,0.218181818,21,0,0,1,text,21,0,prompt_development
baby-u2794-i4415,2794,4415,text,A,text,text,A,text,text,A,text,text,text,0.821052632,0.769416267,0.146427043,21,0,0,1,text,21,0,prompt_development
baby-u2854-i2006,2854,2006,text,A,text,text,A,text,text,A,text,text,text,0.605224964,0.615667982,0.198696605,21,0,0,1,text,21,0,prompt_development
baby-u3020-i960,3020,960,text,A,text,text,A,text,text,A,text,text,text,0.815789474,0.750709329,0.120718463,21,0,0,1,text,21,0,prompt_development
baby-u3651-i6242,3651,6242,text,A,text,text,A,text,text,A,text,text,text,0.675675676,0.665259972,0.113486621,21,0,0,1,text,21,0,prompt_development
baby-u3707-i3928,3707,3928,text,A,text,text,A,text,text,A,text,text,text,0.675,0.639612622,0.143468468,21,0,0,1,text,21,0,prompt_development
baby-u3925-i1138,3925,1138,text,A,text,text,A,text,text,A,text,text,text,0.739130435,0.692288565,0.260869565,21,0,0,1,text,21,0,prompt_development
baby-u3928-i3358,3928,3358,text,A,text,text,A,text,text,A,text,text,text,0.670833333,0.683258733,0.12783579,21,0,0,1,text,21,0,prompt_development
